Date	Precipitation	Snow_Water_Equi	Snow_melt+rain	ETP_Coeff	ETP_Input	LAI	I-Cap	Int. ETi(leaf)	I-Bal	I-Prec	I-Rem	I_ETi(litter)	Bilanz	Content	S-REstn	Inf-Limit	P-linf	Rest-ETA	Balance_soil	ETa	ET-Balance	Seepage	Storage	Surface_runoff	Runoff_total	I-Leaf	I-Litter	ETaTotal
07.02.1995	3.9	0.0	3.9	0.21	0.4998475033746924	1.0	0.35	0.35	3.55	3.55	0.14984750337469244	0.0	3.55	0.0	3.55	13.363806235665415	3.0174999999999996	0.14984750337469244	199.56227505733835	0.14902760350190897	199.41324745383645	0.9459695806746391	198.4672778731618	0.5325000000000002	1.4784695806746393	0.35	0.0	0.49902760350190895
08.02.1995	0.0	0.0	0.0	0.21	0.6052547370299696	1.0	0.35	0.35	-0.35	0.0	0.6052547370299696	0.0	0.0	0.0	0.0	12.883180531709549	0.0	0.6052547370299696	198.4672778731618	0.5936586454322262	197.8736192277296	0.9096450857438123	196.96397414198577	0.0	0.9096450857438123	0.0	0.0	0.5936586454322262
09.02.1995	0.5	0.0	0.5	0.21	0.5099735636436035	1.0	0.35	0.35	0.15000000000000002	0.15000000000000002	0.1599735636436035	0.0	0.15000000000000002	0.0	0.15000000000000002	13.259006464503557	0.1275	0.1599735636436035	197.09147414198577	0.15415747306290217	196.93731666892288	0.8879026044321175	196.04941406449075	0.02250000000000002	0.9104026044321176	0.35	0.0	0.5041574730629022
10.02.1995	0.0	0.0	0.0	0.21	0.3759509911812346	1.0	0.35	0.35	-0.35	0.0	0.3759509911812346	0.0	0.0	0.0	0.0	13.487646483877313	0.0	0.3759509911812346	196.04941406449075	0.35738565745371775	195.69202840703704	0.8593924746557553	194.8326359323813	0.0	0.8593924746557553	0.0	0.0	0.35738565745371775
11.02.1995	0.1	0.0	0.1	0.21	0.0634048811957134	1.0	0.35	0.0634048811957134	0.036595118804286605	0.036595118804286605	0.0	0.0	0.036595118804286605	0.0	0.036595118804286605	13.791841016904677	0.031105850983643615	0.0	194.86374178336493	0.0	194.86374178336493	0.8406869750709509	194.02305480829398	0.00548926782064299	0.8461762428915939	0.0634048811957134	0.0	0.0634048811957134
12.02.1995	0.0	0.0	0.0	0.21	0.6425045177819004	1.0	0.35	0.35	-0.35	0.0	0.6425045177819004	0.0	0.0	0.0	0.0	13.994236297926506	0.0	0.6425045177819004	194.02305480829398	0.5945018391793264	193.42855296911466	0.8087628586707116	192.61979011044394	0.0	0.8087628586707116	0.0	0.0	0.5945018391793264
13.02.1995	0.0	0.0	0.0	0.21	0.86849955113527	1.0	0.35	0.35	-0.35	0.0	0.86849955113527	0.0	0.0	0.0	0.0	14.345052472389014	0.0	0.86849955113527	192.61979011044394	0.7883781889307261	191.83141192151322	0.7739627607957168	191.0574491607175	0.0	0.7739627607957168	0.0	0.0	0.7883781889307261
14.02.1995	0.0	0.0	0.0	0.21	0.27697237882008324	1.0	0.35	0.27697237882008324	-0.27697237882008324	0.0	0.27697237882008324	0.0	0.0	0.0	0.0	14.735637709820622	0.0	0.27697237882008324	191.0574491607175	0.24601188408663818	190.81143727663087	0.7521389473773341	190.05929832925352	0.0	0.7521389473773341	0.0	0.0	0.24601188408663818
15.02.1995	0.6	0.0	0.6	0.21	0.18512234477626552	1.0	0.35	0.18512234477626552	0.41487765522373443	0.41487765522373443	0.0	0.0	0.41487765522373443	0.0	0.41487765522373443	14.98517541768662	0.3526460069401743	0.0	190.4119443361937	0.0	190.4119443361937	0.7436762857804858	189.66826805041322	0.06223164828356015	0.805907934064046	0.18512234477626552	0.0	0.18512234477626552
16.02.1995	4.7	0.0	4.7	0.21	0.3162592410640667	1.0	0.35	0.3162592410640667	4.383740758935933	4.383740758935933	0.0	0.0	4.383740758935933	0.0	4.383740758935933	15.082932987396696	3.726179645095543	0.0	193.39444769550877	0.0	193.39444769550877	0.8080117428793159	192.58643595262947	0.6575611138403903	1.4655728567197062	0.3162592410640667	0.0	0.3162592410640667
17.02.1995	0.8	0.0	0.8	0.21	0.2442512075911464	1.0	0.35	0.2442512075911464	0.5557487924088537	0.5557487924088537	0.0	0.0	0.5557487924088537	0.0	0.5557487924088537	14.353391011842632	0.4723864735475256	0.0	193.058822426177	0.0	193.058822426177	0.8006387301449491	192.25818369603203	0.08336231886132806	0.8840010490062772	0.2442512075911464	0.0	0.2442512075911464
